CALENDAR_YEAR,LOCATION_ID,AGE_GROUP_PUBLIC,COUNTY,EXPERIENCING_HOMELESSNESS_CNT,geo_point
2017,CA-609,25-34,San Bernardino,1198,"34.8414378315, -116.17846142"
2017,CA-609,35-44,San Bernardino,918,"34.8414378315, -116.17846142"
2017,CA-609,45-54,San Bernardino,698,"34.8414378315, -116.17846142"
2017,CA-609,55-64,San Bernardino,561,"34.8414378315, -116.17846142"
2017,CA-609,65+,San Bernardino,166,"34.8414378315, -116.17846142"
2017,CA-609,Invalid,San Bernardino,NULL,"34.8414378315, -116.17846142"
2017,CA-609,Under 18,San Bernardino,4130,"34.8414378315, -116.17846142"
2017,CA-609,Unknown,San Bernardino,NULL,"34.8414378315, -116.17846142"
2017,CA-611,18-24,Ventura,117,"34.3575285169, -119.126027193"
2017,CA-611,25-34,Ventura,298,"34.3575285169, -119.126027193"
2017,CA-611,35-44,Ventura,316,"34.3575285169, -119.126027193"
2017,CA-611,45-54,Ventura,336,"34.3575285169, -119.126027193"
2017,CA-611,55-64,Ventura,304,"34.3575285169, -119.126027193"
2017,CA-611,65+,Ventura,91,"34.3575285169, -119.126027193"
2017,CA-611,Invalid,Ventura,NULL,"34.3575285169, -119.126027193"
2017,CA-611,Under 18,Ventura,465,"34.3575285169, -119.126027193"
2017,CA-611,Unknown,Ventura,NULL,"34.3575285169, -119.126027193"
2017,CA-612,18-24,Glendale (Los Angeles),26,NULL
2017,CA-612,25-34,Glendale (Los Angeles),59,NULL
2017,CA-612,35-44,Glendale (Los Angeles),50,NULL
2017,CA-612,45-54,Glendale (Los Angeles),73,NULL
2017,CA-612,55-64,Glendale (Los Angeles),59,NULL
2017,CA-612,65+,Glendale (Los Angeles),27,NULL
2017,CA-612,Invalid,Glendale (Los Angeles),NULL,NULL
2017,CA-612,Under 18,Glendale (Los Angeles),129,NULL
2017,CA-612,Unknown,Glendale (Los Angeles),NULL,NULL
2017,CA-613,18-24,Imperial,44,"33.0395904342, -115.365336962"
2017,CA-613,25-34,Imperial,90,"33.0395904342, -115.365336962"
2017,CA-613,35-44,Imperial,82,"33.0395904342, -115.365336962"
2017,CA-613,45-54,Imperial,80,"33.0395904342, -115.365336962"
2017,CA-613,55-64,Imperial,75,"33.0395904342, -115.365336962"
2017,CA-613,65+,Imperial,50,"33.0395904342, -115.365336962"
2017,CA-613,Invalid,Imperial,NULL,"33.0395904342, -115.365336962"
2017,CA-613,Under 18,Imperial,71,"33.0395904342, -115.365336962"
2017,CA-613,Unknown,Imperial,NULL,"33.0395904342, -115.365336962"
2017,CA-614,18-24,San Luis Obispo,131,"35.38741848, -120.452196945"
2017,CA-614,25-34,San Luis Obispo,332,"35.38741848, -120.452196945"
2017,CA-614,35-44,San Luis Obispo,246,"35.38741848, -120.452196945"
2017,CA-614,45-54,San Luis Obispo,218,"35.38741848, -120.452196945"
2017,CA-614,55-64,San Luis Obispo,201,"35.38741848, -120.452196945"
2017,CA-614,65+,San Luis Obispo,78,"35.38741848, -120.452196945"
2017,CA-614,Invalid,San Luis Obispo,NULL,"35.38741848, -120.452196945"
2017,CA-614,Under 18,San Luis Obispo,534,"35.38741848, -120.452196945"
2018,All,18-24,California,18781,NULL
2018,All,25-34,California,32935,NULL
2018,All,35-44,California,29853,NULL
2018,All,45-54,California,30639,NULL
2018,All,55-64,California,28008,NULL
2018,All,65+,California,9770,NULL
2018,All,Invalid,California,101,NULL
2018,All,Under 18,California,55745,NULL
2018,All,Unknown,California,6484,NULL
2018,CA-500,18-24,Santa Clara,810,"37.2324840341, -121.696278854"
2018,CA-500,25-34,Santa Clara,1490,"37.2324840341, -121.696278854"
2018,CA-500,35-44,Santa Clara,1447,"37.2324840341, -121.696278854"
2018,CA-500,45-54,Santa Clara,1568,"37.2324840341, -121.696278854"
2018,CA-500,55-64,Santa Clara,1528,"37.2324840341, -121.696278854"
2018,CA-500,65+,Santa Clara,521,"37.2324840341, -121.696278854"
2018,CA-500,Under 18,Santa Clara,2395,"37.2324840341, -121.696278854"
2018,CA-500,Unknown,Santa Clara,14,"37.2324840341, -121.696278854"
2018,CA-501,18-24,San Francisco,706,"37.7597150131, -122.693975573"
2018,CA-501,25-34,San Francisco,804,"37.7597150131, -122.693975573"
